Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3ewd_2719_uff_E=262.55,-5.1,0,0
3ewd_2719_uff_E=262.55,-4.8,35.523,33.69
3ewd_2719_uff_E=262.55,-4.8,5.015,3.283
3ewd_2719_uff_E=262.55,-4.8,17.313,14.687
3ewd_2719_uff_E=262.55,-4.6,36.637,34.109
3ewd_2719_uff_E=262.55,-4.6,14.368,12.505
3ewd_2719_uff_E=262.55,-4.6,36.446,33.952
3ewd_2719_uff_E=262.55,-4.5,30.471,28.472
3ewd_2719_uff_E=262.55,-4.5,5.466,3.637
3ewd_54671203_uff_E=690.46,-7,0,0
3ewd_54671203_uff_E=690.46,-6.6,32.533,30.007
3ewd_54671203_uff_E=690.46,-6.6,25.218,22.319
3ewd_54671203_uff_E=690.46,-6.5,35.077,32.524
3ewd_54671203_uff_E=690.46,-6.4,33.71,31.44
3ewd_54671203_uff_E=690.46,-6.4,33.13,30.958
3ewd_54671203_uff_E=690.46,-6.4,23.864,21.002
3ewd_54671203_uff_E=690.46,-6.3,33.84,30.846
3ewd_54671203_uff_E=690.46,-6.2,8.014,4.386
3ewd_40692_uff_E=227.06,-7.3,0,0
3ewd_40692_uff_E=227.06,-7,31.648,30.09
3ewd_40692_uff_E=227.06,-7,30.677,28.912
3ewd_40692_uff_E=227.06,-6.9,38.93,37.345
3ewd_40692_uff_E=227.06,-6.6,44.381,43.274
3ewd_40692_uff_E=227.06,-6.6,4.119,2.628
3ewd_40692_uff_E=227.06,-6.5,17.491,14.992
3ewd_40692_uff_E=227.06,-6.4,38.718,36.853
3ewd_40692_uff_E=227.06,-6.3,17.836,15.774
3ewd_4908_uff_E=190.02,-5.7,0,0
3ewd_4908_uff_E=190.02,-5.7,4.693,2.553
3ewd_4908_uff_E=190.02,-5.5,27.401,25.842
3ewd_4908_uff_E=190.02,-5.4,36.633,35.445
3ewd_4908_uff_E=190.02,-5.2,27.412,25.609
3ewd_4908_uff_E=190.02,-5.2,27.098,25.538
3ewd_4908_uff_E=190.02,-5.2,15.412,12.223
3ewd_4908_uff_E=190.02,-5.1,26.478,24.761
3ewd_4908_uff_E=190.02,-5,14.976,11.946
3ewd_115358_uff_E=395.52,-7,0,0
3ewd_115358_uff_E=395.52,-6.6,2.272,1.661
3ewd_115358_uff_E=395.52,-6.5,33.933,31.442
3ewd_115358_uff_E=395.52,-6.5,16.761,12.977
3ewd_115358_uff_E=395.52,-6.4,16.508,13.772
3ewd_115358_uff_E=395.52,-6.3,5.115,3.458
3ewd_115358_uff_E=395.52,-6.3,32.949,30.793
3ewd_115358_uff_E=395.52,-6.3,15.94,13.428
3ewd_115358_uff_E=395.52,-6.2,28.652,26.131
